Numero_da_Ocorrencia,Numero_da_Ficha,Operador_Padronizado,Classificacao_da_Ocorrencia,Data_da_Ocorrencia,Hora_da_Ocorrencia,Municipio,UF,Regiao,Descricao_do_Tipo,ICAO,Latitude,Longitude,Tipo_de_Aerodromo,Historico,Matricula,Categoria_da_Aeronave,Operador,Tipo_de_Ocorrencia,Fase_da_Operacao,Operacao,Danos_a_Aeronave,Aerodromo_de_Destino,Aerodromo_de_Origem,Lesoes_Fatais_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Leves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Ilesos_Tripulantes,Ilesos_Passageiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Modelo,CLS,Tipo_ICAO,PMD,Numero_de_Assentos,Nome_do_Fabricante,PSSO
25905,202035641,NELSON PIQUET SOUTO MAIOR,Acidente,2020-10-30,14:00,BRASÍLIA,DF,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SSGP,"-15,8547","-47,8097",Privado,A aeronave decolou do Aeródromo Piquet (SSGP) Brasília DF por volta das 13 horas (UTC) a fim de realizar voo local privado com um piloto e dois passageiros a bordo. Durante a corrida após o pouso ocorreu uma falha no sistema de controle direcional da aeronave ocasionando uma perda de controle. A aeronave saiu da pista pela lateral esquerda e colidiu contra uma vala e alguns coqueiros. A aeronave teve danos substanciais. Todos a bordo saíram ilesos.,PTZNQ,PET,NELSON PIQUET SOUTO MAIOR,SCF-NP,Corrida após pouso,Voo Privado,Substancial,SSGP,SSGP,,,,,,,,,,1.0,2.0,,,,ANTONOV AN-2,L1P,ZZZZ,5500.0,8.0,PZL - MIELEC,verdadeiro
25663,202049128,TAM,Incidente Grave,2020-10-13,18:45,CUIABÁ,MT,Centro-Oeste,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,Fora de Aeródromo,"-15,65","-56,1175",-,A aeronave de matrícula PR-MYW decolou do Aeródromo Guarulhos - Governador André Franco Montoro ( SBGR ) São Paulo SP com destino ao Aeródromo Marechal Rondon (SBCY) Cuiabá MT a fim de realizar transporte aéreo público regular com seis tripulantes e cento e cinquenta e seis passageiros a bordo. A aeronave de matrícula PT-OLF decolou de SBCY com destino ao Aeródromo Maestro Marinho Franco (SBRD) Rondonópolis MT a fim de realizar voo privado com um piloto e três passageiros a bordo. Durante o procedimento de descida da aeronave PR-MYW e o procedimento de subida da aeronave PT-OLF a separação entre as aeronaves ficou abaixo dos mínimos previstos em legislação. As aeronave não tiveram danos. Todos os ocupantes saíram ilesos.,PRMYW,TPR,TAM LINHAS AEREAS S.A,MAC,Descida,Voo Regular,Nenhum,SBCY,SBGR,,,,,,,,,,6.0,156.0,,,,A320-214,L2J,A320,77000.0,189.0,AIRBUS S.A.S.,verdadeiro
25906,202066510,RENATO FERRO DE SOUSA,Acidente,2020-10-28,12:25,ALTO ALEGRE,RR,Norte,INDETERMINADO,Fora de Aeródromo,"3,59633","-63,7772",-,A aeronave decolou de local não registrado conhecido como Prainha no município de Alto Alegre RR com destino ao local não registrado conhecido como Gaúcho no município de Alto Alegre RR por volta das 14h25min (UTC) com finalidade desconhecida tendo um piloto a bordo. A aeronave não chegou ao destino e encontra-se desaparecida. Não existem informações sobre danos à aeronave. Não existem informações sobre lesões ao ocupante da aeronave.,PTJDF,TPP,RENATO FERRO DE SOUSA,UNK,Indeterminada,Desconhecida,Desconhecida,,,,,,,,,,,,,,1.0,,,182P,L1P,C182,1338.0,4.0,CESSNA AIRCRAFT,verdadeiro
26323,202053671,URBANO AQUILES MALVEZZI,Acidente,2020-12-13,16:15,SÃO JOSÉ DOS PINHAIS,PR,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SSUL,"-25,4794","-49,1556",Privado,A aeronave decolou da pista do clube de ultraleve de Curitiba município de São José dos Pinhais PR às 16h15min (UTC) a fim de verificar o funcionamento dos sistemas da aeronave após o término de uma inspeção com um piloto a bordo. Após a decolagem houve perda de potência o piloto tentou retornar para a pista e a aeronave colidiu contra um hangar. A aeronave teve danos substanciais. O tripulante saiu ileso.,PUUAM,PET,URBANO AQUILES MALVEZZI,SCF-PP,Decolagem,Voo Experimental,Substancial,SSUL,SSUL,,,,,,,,,,1.0,,,,,SKYPAX,L1P,ULAC,650.0,2.0,,verdadeiro
26405,202000259,AERO AGRICOLA RIO VERDE LTDA-ME,Acidente,2020-12-18,14:00,SANTA HELENA DE GOIÁS,GO,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,"-17,7606","-50,5922",-,A aeronave decolou da Área de Pouso Usina Floresta Santa Helena de Goiás GO com destino ao Aeródromo General Leite de Castro (SWLC) Rio Verde GO a fim de realizar um voo de translado para manutenção com um piloto a bordo. Logo após a decolagem a aeronave apresentou perda de potência no motor. Foi realizado pouso forçado em um canavial. A aeronave teve danos substanciais. O piloto saiu ileso.,PTWKN,S11,AERO AGRICOLA RIO VERDE LTDA-ME,SCF-PP,Subida,Operação Agrícola,Substancial,SWLC,****,,,,,,,,,,1.0,,,,,A188B,L1P,C188,1497.0,1.0,CESSNA AIRCRAFT,verdadeiro
25963,202016245,RG8 TAXI AEREO LTDA,Incidente Grave,2020-11-06,14:57,ANANINDEUA,PA,Norte,OUTROS,SBBE,"-1,3708","-48,3705",Público,A aeronave decolou do Aeródromo Cibrasa (SNCI) Capanema PA com destino ao Aeroporto Internacional de Belém (SBBE) Belém PA por volta das 13h43min (UTC) a fim de realizar o transporte de passageiros com um piloto e dois passageiros a bordo.Após aproximadamente 01h14min de voo a carenagem do motor do lado direito soltou em voo vindo a colidir com uma das pás do rotor principal e em seguida com uma das pás do rotor de cauda. O piloto realizou o pouso normal no pátio 5 de SBBE aproximadamente às 15hs00min (UTC) não observando vibração anormal na aeronave. A aeronave teve danos leves.O tripulante e os passageiros saíram ilesos.,PTHXO,TPX,RG8 TAXI AEREO LTDA,OTHR,Aproximação,Táxi Aéreo,Leve,SBBE,SNCI,,,,,,,,,,1.0,2.0,,,,206L-3,H1T,B06,1882.0,7.0,BELL HELICOPTER,verdadeiro
26363,202002193,FIGUEIREDO AVIAÇÃO AGRÍCOLA EIRELI,Incidente Grave,2020-12-09,19:50,Macaúba,MS,Centro-Oeste,OPERAÇÃO A BAIXA ALTITUDE,Fora de Aeródromo,"-22,2231","-54,4264",-,A aeronave decolou do Aeroporto Asas do MS (SSXA) Fátima do Sul - MS por volta das 19h50min (UTC) a fim de realizar voo de treinamento e calibração da aeronave com somente um piloto a bordo. Durante uma das passagens baixas houve a colisão de uma das rodas da aeronave com um fio de alta tensão. O piloto retornou para base e efetuou o pouso normalmente. A aeronave teve danos leves. O tripulante saiu ileso.,PRNEN,S11,FIGUEIREDO AVIAÇÃO AGRÍCOLA EIRELI,LALT,Manobra,Operação Agrícola,Leve,****,****,,,,,,,,,,1.0,,,,,PA-25-235,L1P,PA25,1315.0,1.0,LAVIASA,verdadeiro
26364,202089941,ALDIMAR LAGO DA CRUZ,Acidente,2020-12-15,18:00,TAILÂNDIA,PA,Norte,OUTROS,Fora de Aeródromo,"-2,94722","-48,9533",-,A aeronave decolou de local desconhecido com destino desconhecido em horário desconhecido com dois ocupantes a bordo. Durante o voo houve pouso em uma estrada no interior da Fazenda São Félix Tailândia PA vindo a danificar o trem de pouso do nariz.Os ocupantes saíram ilesos. A aeronave teve danos substanciais. Obs. CANAC 379984,PRORV,TPP,ALDIMAR LAGO DA CRUZ,OTHR,Pouso,Voo Privado,Substancial,****,****,,,,,,,,,,1.0,1.0,,,,T210M,L1P,C210,1724.0,6.0,CESSNA AIRCRAFT,verdadeiro
26365,202030176,GOL,Incidente Grave,2020-12-03,14:42:00,SÃO PAULO,SP,Sudeste,INCURSÃO EM PISTA,SBSP,"-23,6261","-46,6564",Público,Durante operação visual diurna no Aeroporto de Congonhas (SBSP) o PR-AUJ foi autorizado pela TWR-SP a pousar na pista 35L enquanto o PR-GUD ainda se encontrava na posição 3 aguardando autorização para decolar. Após o PR-GUD alertar que ainda estava na pista a TWR-SP orientou o PR-AUJ a arremeter. O PR-AUJ arremeteu sobre a pista e pousou cinco minutos depois sem problemas. O PR-GUD foi autorizado a decolar 30 segundos após a arremetida do PR-AUJ. Não houve danos às aeronaves nem lesões aos seus ocupantes.,PRGUD,TPR,GOL LINHAS AEREAS S.A,RI,Decolagem,Voo Regular,Nenhum,SBSV,SBSP,,,,,,,,,,6.0,163.0,,,,737-8EH,L2J,B738,70533.0,196.0,BOEING COMPANY,verdadeiro
24401,202025839,NEXTDOOR IMPORTACAO E EXPORTACAO LTDA-ME,Acidente,2020-05-31,13:54,Tijucas,SC,Sul,EXCURSÃO DE PISTA,SIZD,"-27,2889","-48,6536",Privado,A aeronave decolou do Aeródromo DZ47 (SIZD) Tijucas SC a fim de realizar voo local para lançamento de paraquedistas às 13h26min (UTC) com um piloto e três paraquedistas a bordo. Durante a realização do pouso com somente o piloto a bordo a aeronave ultrapassou o limite final da pista vindo a colidir contra árvores. A aeronave teve danos substanciais. O piloto sofreu lesões leves.,PTTBI,TPP,NEXTDOOR IMPORTACAO E EXPORTACAO LTDA-ME,RE,Pouso,Operação Especializada,Substancial,SIZD,SIZD,,,,,,,1.0,,,,,,,,182E,L1P,C182,1270.0,4.0,CESSNA AIRCRAFT,verdadeiro
25221,202025140,W.R.V. EMPREENDIMENTOS E PARTICIPACOES LTDA,Acidente,2020-09-07,21:26,BELO HORIZONTE,MG,Sudeste,EXCURSÃO DE PISTA,SBBH,"-19,8519","-43,9506",Público,A AERONAVE DECOLOU DO AERÓDROMO PAMPULHA - CARLOS DRUMMOND DE ANDRADE (SBBH) BELO HORIZONTE MG A FIM DE REALIZAR UM VOO LOCAL COM TOQUE E ARREMETIDA COM DOIS TRIPULANTES E UM PASSAGEIRO A BORDO. APÓS O TOQUE AO INICIAR UMA NOVA ARREMETIDA A TRIPULAÇÃO DECIDIU ABORTAR. A AERONAVE ULTRAPASSOU A CABECEIRA OPOSTA (OVERRUN). O PILOTO SOFREU LESÃO LEVE. O COPILOTO E O PASSAGEIRO SAÍRAM ILESOS. A AERONAVE TEVE DANOS SUBSTANCIAIS.,PRAUR,TPP,W.R.V. EMPREENDIMENTOS E PARTICIPACOES LTDA,RE,Decolagem,Voo Privado,Substancial,SBBH,SBBH,,,,,,,1.0,,,1.0,1.0,,,,GULFSTREAM 200,L2J,GALX,16170.0,12.0,ISRAEL AIRCRAFT,verdadeiro
25341,202072733,AVIA-PRO CENTRO DE INSTRUÇÃO DE AVIAÇÃO CIVIL LTDA,Incidente Grave,2020-09-12,14:20,MARINGÁ,PR,Sul,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SBMG,"-23,4794","-52,0122",Público,A AERONAVE DECOLOU DO AERÓDROMO SILVIO NAME JUNIOR (SBMG) MARINGÁ PR PARA REALIZAÇÃO DE VOO DE INSTRUÇÃO COM TOQUE E ARREMETIDA NO AERÓDROMO DE PRESIDENTE PRUDENTE (SBDN) SP E RETORNO AO AERÓDROMO DE ORIGEM POR VOLTA DAS 12H00MIN (UTC) COM UM INSTRUTOR E UM ALUNO A BORDO. AO CHEGAR A SBDN NÃO OCORREU O BAIXAMENTO DO TREM DE POUSO AUXILIAR. O INSTRUTOR DECIDIU RETORNAR PARA SBMG ONDE EFETUOU O POUSO COM OS TRENS DE POUSO PRINCIPAIS E AUXILIAR RECOLHIDOS. A AERONAVE TEVE DANOS LEVES RESTRITOS À PARTE INFERIOR DA FUSELAGEM. OS TRIPULANTES SAÍRAM ILESOS.,PTKDH,PRI,AVIA-PRO CENTRO DE INSTRUÇÃO DE AVIAÇÃO CIVIL LTDA,SCF-NP,Pouso,Voo de Instrução,Leve,SBMG,SBMG,,,,,,,,,,2.0,,,,,PA-34-200,L2P,PA34,1814.0,6.0,PIPER AIRCRAFT,verdadeiro
25342,202033994,AGNER BRUNO DOMINGUES PEREIRA,Acidente,2020-09-12,23:00,TAPIRATIBA,SP,Sudeste,INDETERMINADO,Fora de Aeródromo,"-21,39","-46,77",-,A AERONAVE FOI ENCONTRADA EM CHAMAS EM ÁREA RURAL DA CIDADE DE TAPIRATIBA SP COM UMA VÍTIMA CARBONIZADA. AS AUTORIDADES DE POLÍCIA DO ESTADO DE SÃO PAULO AFIRMARAM QUE HAVIA PRESENÇA DE ENTORPECENTES AO REDOR DA AERONAVE.,PTZOT,PET,AGNER BRUNO DOMINGUES PEREIRA,UNK,Indeterminada,Voo Privado,Destruída,,,,,,,,,,,,,,,,,RV-10,L1P,ZZZZ,1224.0,4.0,FLYER INDÚSTRIA AERONÁUTICA LTDA.,falso
25343,202054841,RICARDO ANTONUCCI,Incidente Grave,2020-09-12,13:10,SÃO PAULO,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,"-23,73","-47,27",-,A AERONAVE DECOLOU DO AERÓDROMO ESTADUAL ARTHUR SIQUEIRA (SBBP) BRAGANÇA PAULISTA  SP COM DESTINO AO AERÓDROMO COMANDANTE ANTÔNIO AMILTON BERALDO (SBPG) PONTA GROSSA PR A FIM DE REALIZAR O TRANSLADO DA AERONAVE COM UM PILOTO A BORDO. APÓS 40 MINUTOS DE VOO HOUVE PERDA DE POTÊNCIA NO MOTOR DA AERONAVE. FOI EFETUADO UM POUSO FORÇADO NO RODOANEL MÁRIO COVAS NA CIDADE DE SÃO PAULO SP. A AERONAVE TEVE DANOS LEVES. O PILOTO SAIU ILESO.,PRSJC,TPP,RICARDO ANTONUCCI,SCF-PP,Cruzeiro,Voo Privado,Leve,,SBBP,,,,,,,,,,1.0,,,,,7GCBC,L1P,CH7B,748.0,2.0,AMERICAN CHAMPION,verdadeiro
25344,202063005,LEONARDO RICIERE BARROS DA SILVA,Acidente,2020-09-11,00:00,JUTI,MS,Centro-Oeste,INDETERMINADO,Fora de Aeródromo,"-23,0828","-54,4928",-,A aeronave foi encontrada por trabalhadores de uma fazenda próxima ao local da queda no município de Juti MS. Segundo a Policia Civil do Estado há fortes indícios de que o fogo tenha sido intencional. Não foi encontrada qualquer pessoa que tenha tripulado o helicóptero. A aeronave ficou destruída. Não existem informações sobre vítimas.,PRFIN,TPP,LEONARDO RICIERE BARROS DA SILVA,UNK,Indeterminada,Desconhecida,Destruída,,,,,,,,,,,,,,,,,R44 II,H1P,R44,1134.0,4.0,ROBINSON HELICOPTER,falso
25346,202093485,AEROCLUBE DE BAURU,Acidente,2020-09-11,13:10,BAURU,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,"-22,34","-49,04",-,A AERONAVE DECOLOU DO AERÓDROMO DE BAURU (SBBU) BAURU SP A FIM DE REALIZAR VOO LOCAL DE INSTRUÇÃO COM UM INSTRUTOR E UM ALUNO A BORDO. APÓS A DECOLAGEM DURANTE CURVA A ESQUERDA HOUVE PERDA DE POTÊNCIA DO MOTOR DA AERONAVE. A AERONAVE COLIDIU CONTRA O SOLO NAS MARGENS DA RODOVIA MARECHAL RONDON. A AERONAVE TEVE DANOS SUBSTANCIAIS. OS PILOTOS SOFRERAM LESÕES LEVES.,PPFLJ,PRI,AEROCLUBE DE BAURU,SCF-PP,Decolagem,Voo de Instrução,Substancial,SBBU,SBBU,,,,,,,,,,2.0,,,,,AB-115,L1P,AB11,770.0,3.0,AERO BOERO,verdadeiro
26063,202068401,ENZO LUIS MANICA,Acidente,2020-11-14,12:40,SÃO MIGUEL DO IGUAÇU,PR,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,"-25,4903","-54,2803",-,A aeronave decolou do Condomínio de Voo Itaipu (SWIT) Santa Terezinha de Itaipu PR por volta das 12h30min (UTC) com destino ao aeródromo de Ijuí (SSIJ) RS com um piloto e um passageiro a bordo. Durante a subida para o FL055 ocorreu a perda de potência do motor. O piloto realizou o pouso em uma lavoura. Após o toque no solo houve a quebra do trem de pouso de nariz e o capotamento da aeronave. A aeronave teve danos substanciais. O tripulante e o passageiro saíram ilesos.,PUMLU,PET,ENZO LUIS MANICA,SCF-PP,Subida,Voo Privado,Substancial,SSIJ,SWIT,,,,,,,,,,1.0,1.0,,,,J250,L1P,ULAC,700.0,2.0,CIMAFER AER E PROD,verdadeiro
25823,202004935,JAIME DOS SANTOS,Acidente,2020-10-24,18:49,BIRITIBA-MIRIM,SP,Sudeste,PERDA DE CONTROLE EM VOO,SDIH,"-23,5646","-46,0694",Privado,A aeronave decolou do Aeródromo de Fazenda Irohy SP (SDIH) a fim de realizar um voo recreativo local com um condutor e um passageiro a bordo. Com cerca de 20 minutos de voo a aeronave apresentou perda de potência no motor. O condutor tentou retornar para a pista sem êxito realizando pouso forçado em um campo aberto próximo a cabeceira 31. A aeronave teve danos substanciais. O condutor sofreu lesões graves e o passageiro saiu ileso.,PUAFJ,PET,JAIME DOS SANTOS,LOC-I,Cruzeiro,Voo Privado,Substancial,SDIH,SDIH,,,,1.0,,,,,,,1.0,,,,ADVENTURE,L1P,ULAC,420.0,2.0,TRIKE ICAROS,verdadeiro
25904,202072038,TRACBEL S&#x2F;A,Acidente,2020-10-30,20:50,IGARATINGA,MG,Sudeste,EXCURSÃO DE PISTA,SSDK,"-20,0758","-44,7283",Privado,A aeronave decolou do Aeródromo de Congonhas (SBSP) São PauloSP com destino ao Aeródromo São Pedro (SSDK) Igaratinga MG a fim de realizar um voo privado com dois tripulantes e dois passageiros a bordo.Durante o pouso no aeródromo de destino a aeronave ultrapassou a extremidade oposta da pista.A aeronave incendiou-se e teve danos substanciais.Todos a bordo sofreram lesões leves.,PRLMP,TPP,TRACBEL S&#x2F;A,RE,Pouso,Voo Privado,Substancial,SSDK,SBSP,,,,,,,2.0,,,,,,,,EMB-500,L2J,E50P,4750.0,6.0,EMBRAER,verdadeiro
26443,202091865,MERCAER AVIACAO AGRICOLA LTDA,Acidente,2020-12-23,13:30,SANTANA DO LIVRAMENTO,RS,Sul,EXCURSÃO DE PISTA,Aeródromo não cadastrado,"-30,8369","-55,0697",,A aeronave decolaria da pista de pouso eventual da Fazenda Bundut município de Santana do Livramento RS por volta de 13h30min (UTC) a fim de transladar para a sede da empresa após ter finalizado a pulverização de defensivos agrícolas em lavoura de arroz com um tripulante a bordo. Durante a corrida de decolagem o piloto perdeu a reta para a direita saiu da pista e pilonou a aeronave. A aeronave teve danos substanciais. O tripulante saiu ileso.,PRDBO,S11,MERCAER AVIACAO AGRICOLA LTDA,RE,Decolagem,Operação Agrícola,Substancial,****,****,,,,,,,,,,1.0,,,,,A188B,L1P,C188,1905.0,1.0,CESSNA AIRCRAFT,verdadeiro
26465,202052234,AGENOR ALVES SOUZA JUNIOR,Acidente,2020-12-26, 12:05,MARITUBA ,PA,Norte,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,"-1,46472","-48,2631",-,A aeronave decolou do Aeroporto Brigadeiro Protásio de Oliveira (SBJC) localizado no município de Belém PA por volta das 12h00min (UTC) a fim de realizar um voo de experiência com um piloto a bordo. Após 5 minutos de voo houve uma falha do motor sendo então efetuado o pouso no Rio Guamá próximo do Km 20 da Rodovia PA 483 (Alça Viária) no município de Marituba PA. Após o pouso na água a aeronave submergiu no rio. A aeronave teve danos substanciais. O tripulante saiu ileso.,PTNPF,TPP,AGENOR ALVES SOUZA JUNIOR,SCF-PP,Cruzeiro,Voo Privado,Substancial,SBJC,SBJC,,,,,,,,,,1.0,,,,,EMB-711C,L1P,P28R,1202.0,4.0,NEIVA,verdadeiro
26466,202032863,TRADIÇAO AERO AGRÍCOLA EIRELI,Incidente Grave,2020-12-29,12:00:00,GOIATUBA ,GO,Centro-Oeste,EXCURSÃO DE PISTA,Fora de Aeródromo,"-18,045","-49,9669",-,A aeronave estava decolando de uma área de pouso para uso aeroagrícola (APUA) localizada na Fazenda 3 Irmãos Goiatuba GO às 12h00 horas (UTC) com um piloto a bordo a fim de aplicar defensivos em lavoura de cana-de-açúcar. A aeronave percorreu toda a extensão da área sem conseguir alçar voo e parou na plantação. A aeronave teve danos leves. O piloto saiu ileso.,PTUPT,S05,TRADIÇAO AERO AGRÍCOLA EIRELI,RE,Decolagem,Operação Agrícola,Leve,****,****,,,,,,,,,,1.0,,,,,EMB-202,L1P,IPAN,1800.0,1.0,NEIVA,verdadeiro
26467,202001675,EDENILSON MANFROI,Incidente Grave,2020-12-28,13:00:00,NOVA MARINGA,MT,Centro-Oeste,PERDA DE CONTROLE NO SOLO,Fora de Aeródromo,"-12,1944","-57,6469",-,A aeronave decolou do aeródromo Fazenda Rancho Branco (SWGS) Nova Maringá MT às 12h30min (UTC) com destino à área de pouso para uso aeroagrícola (APUA) localizada na Fazenda Estrela Maza Nova Maringá MT com um tripulante a bordo a fim de ser transladada para realizar aplicações de defensivos agrícolas. Durante a corrida após o pouso no destino a aeronave saiu da área pela lateral esquerda vindo a parar na plantação. A aeronave teve danos leves. O piloto saiu ileso.,PTBYA,TPP,EDENILSON MANFROI,LOC-G,Corrida após pouso,Voo Privado,Leve,****,****,,,,,,,,,,1.0,,,,,EMB-203,L1P,IPAN,1900.0,1.0,EMBRAER,verdadeiro
26484,202099056,HP AEROAGRICOLA LTDA - EPP,Incidente Grave,2020-12-31,09:00,VICENTINA,MS,Centro-Oeste,OUTROS,Fora de Aeródromo,"-22,5072","-54,3642",-,A aeronave decolou da área de pouso para uso aeroagrícola (APUA) localizada na Usina Vicentina Vicentina MS por volta das 09h (UTC) com um tripulante a bordo a fim de realizar voo local de aplicação de defensivos agrícolas. Logo após a rotação a aeronave não ganhou altura suficiente. O piloto realizou pouso forçado em uma estrada de terra após os limites da APUA. A aeronave teve danos leves. O piloto saiu ileso.,PTGUP,S11,HP AEROAGRICOLA LTDA - EPP,OTHR,Decolagem,Operação Agrícola,Leve,,,,,,,,,,,,1.0,,,,,EMB-201A,L1P,IPAN,1800.0,1.0,NEIVA,verdadeiro
26486,202003604,VALDECY CRUZEIRO,Acidente,2020-12-29,10:30,RONCADOR,PR,Sul,PERDA DE CONTROLE EM VOO,Fora de Aeródromo,"-24,6597","-52,2896",-,A aeronave decolou do Aeródromo Manoel Ribas (SSGW) Goioerê PR por volta das 09h30min (UTC) com destino ao Aeródromo Municipal de Guaratuba (SSGB) Guaratuba PR a fim de realizar voo privado com um tripulante e três passageiros a bordo. A aeronave foi encontrada acidentada em um rio próximo a cidade de Roncador. A aeronave ficou destruída. Todos a bordo sofreram lesões fatais.,PTKCK,TPP,ROGÉRIO FRANCI BRITO,LOC-I,Indeterminada,Voo Privado,Destruída,SSGB,SSGW,1.0,3.0,,,,,,,,,,,,,177B,L1P,C177,1334.0,4.0,CESSNA AIRCRAFT,verdadeiro
26544,202077878,DIEGO BORGES CARNEIRO MARQUES,Incidente Grave,2020-12-29,18:30,MANOEL URBANO,AC,Norte,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SIMB,"-8,84917","-69,2664",Privado,A aeronave decolou do Aeródromo Santa Rosa do Purus (SSRA) AC com destino ao Aeródromo Manuel Urbano (SIMB) AC. Durante o pouso em SIMB ocorreu o recolhimento do trem de pouso. A aeronave saiu cerca de cinquenta metros da pista pela lateral esquerda. Os ocupantes saíram ilesos.,PTOCN,TPP,DIEGO BORGES CARNEIRO MARQUES,SCF-NP,Pouso,Voo Privado,Desconhecida,SIMB,SSRA,,,,,,,,,,1.0,2.0,,,,PA-28R-201,L1P,P28R,1247.0,4.0,PIPER AIRCRAFT,verdadeiro
26566,202189365,AEROAGRICOLA CHAPADAO LTDA-EPP,Acidente,2021-01-05,20:30:00,GUARÁ,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,"-20,4081","-47,7736",-,A aeronave decolou do Aeródromo de Ituverava (SDIV)SP a fim de realizar voo local de aplicação de defensivo agrícola no município de Guará SP. Durante a aplicação houve a falha do motor. Foi realizado o pouso de emergência na área de aplicação. A aeronave teve danos substanciais. O piloto saiu ileso.,PRTCE,S11,AEROAGRICOLA CHAPADAO LTDA-EPP,SCF-PP,Especializada,Operação Agrícola,Substancial,SDIV,SDIV,,,,,,,,,,1.0,,,,,PA-25-235,L1P,PA25,1315.0,1.0,LAVIASA,verdadeiro
26583,202105540,VOARE TÁXI AÉREO LTDA,Incidente Grave,2021-01-07,12:35,CANTÁ,RR,Norte,CONTATO ANORMAL COM A PISTA,SWPD,"2,78718","-60,596",Privado,A aeronave decolou do Aeródromo de Pouso da Águia (SWPD) município de Cantá RR por volta das 07:50h local com a finalidade de realizar um voo de treinamento tendo a bordo dois tripulantes.Às 08:35h local ocorreu pouso com o trem principal recolhido.A aeronave teve danos leves.Não houve excursão de pista ou fogo.Os ocupantes saíram ilesos.,PPDPD,TPX,VOARE TÁXI AÉREO LTDA,ARC,Pouso,Táxi Aéreo,Leve,SWPD,SWPD,,,,,,,,,,2.0,,,,,210N,L1P,C210,1724.0,6.0,CESSNA AIRCRAFT,verdadeiro
24341,200907193657556,LIDER TAXI AEREO S.A,Incidente Grave,2009-07-19,14:40,MINAS NOVAS,MG,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,,"-17,5283","-42,3836",,NA FASE DE SUBIDA OUVIU-SE UM FORTE BARULHO E FOI IDENTIFICADO QUE A PORTA DA ANV HAVIA SIDO ARRANCADA IMEDIATAMENTE FOI REALIZADO O RETORNO AO AÉRODROMO DE PARTIDA. ATÉ O MOMENTO A REFERIDA PORTA NÃO FOI ENCONTRADA.,PTLSO,TPP,LIDER TAXI AEREO S.A,SCF-NP,Subida,Táxi Aéreo,Leve,,,,,,,,,,,,2.0,7.0,,,,C90,L2T,BE9L,4377.0,10.0,BEECH AIRCRAFT,verdadeiro
24481,202082462,AERO AGRICOLA CAMBARA LTDA,Acidente,2020-06-12,09:10:00,CORRENTINA,BA,Nordeste,OPERAÇÃO A BAIXA ALTITUDE,Fora de Aeródromo,"-13,2028","-45,3842",-,A aeronave decolou do Aeródromo Tabuleiro 5 (SILY) Correntina BA a fim de realizar voo local de aplicação de produto agrícola. Após concluir uma curva para nova aplicação entre uma passagem e outra a aeronave colidiu contra a rede elétrica e na sequencia pousou em frente. A aeronave teve danos substanciais. O piloto saiu ileso. Não houve danos a terceiros.,PTUGO,S05,AERO AGRICOLA CAMBARA LTDA,LALT,Manobra,Operação Agrícola,Substancial,SILY,SILY,,,,,,,,,,1.0,,,,,EMB-201A,L1P,IPAN,1800.0,1.0,NEIVA,verdadeiro
24753,202042452,TAM,Acidente,2020-07-09,20:30,GUARULHOS,SP,Sudeste,OUTROS,SBGR,"-23,4319","-46,4694",Público,A aeronave decolou do Aeródromo de Aracaju (SBAR) SE com destino ao Aeródromo de Guarulhos (SBGR) em São Paulo SP com dois pilotos três comissários e 77 passageiros a bordo. Durante a aproximação para pouso em SBGR foi realizada manobra em voo manual para redução de velocidade durante a qual uma comissária que estava de pé caiu sofrendo fratura na perna esquerda (fíbula e tornozelo). A aeronave prosseguiu para pouso normal em SBGR sendo acionado apoio médico na chegada. Demais passageiros e tripulantes saíram ilesos. A aeronave não sofreu danos.,PTTMO,TPR,TAM LINHAS AEREAS S.A,OTHR,Aproximação,Voo Regular,Nenhum,SBGR,SBAR,,,,1.0,,,,,,4.0,77.0,,,,A319-132,L2J,A319,70000.0,153.0,AIRBUS S.A.S.,verdadeiro
